user_id,organization_id,user_name,role,is_registered,created_at,last_active_at
USR-00001,ORG-0001, Noel Silva  ,owner,True,2024-03-09,2025-11-23
USR-00002,ORG-0001,Kendall Garcia,admin,True,2024-04-23,2025-09-16
USR-00003,ORG-0001,Gray Kim,admin,True,2024-03-10,2025-01-21
USR-00004,ORG-0001,Alex Chen,manager,True,2024-04-25,
USR-00005,ORG-0001,Avery Kim,manager,True,2024-03-15,2025-06-17
USR-00006,ORG-0001,Finley Lee,manager,True,2024-04-12,2026-01-18
USR-00007,ORG-0001,Taylor White, manager ,True,2024-04-09,2025-02-11
USR-00008,ORG-0001,Haven Patel,manager,True,2024-03-04,2026-01-14
USR-00009,ORG-0001,Quinn Wright,manager,True,2024-04-13,2025-08-06
USR-00010,ORG-0001,Casey Patel,member,True,2024-04-29,2025-06-23
USR-00011,ORG-0001,Gray Jensen,member,False,2024-03-10,2024-03-13
USR-00012,ORG-0001,Kendall Chen,member,True,2024-03-13,2025-11-01
USR-00013,ORG-0001,Jamie Young,member,True,2024-04-18,2025-11-21
USR-00014,ORG-0001,Alex Ali,member,True,2024-04-15,2025-06-01
USR-00015,ORG-0001,Finley Brown,member,True,2024-04-30,2025-06-10
USR-00016,ORG-0001,Cameron Williams,member,True,2024-04-28,2025-01-21
USR-00017,ORG-0001,Reese Harris,member,True,2024-04-11,2025-12-05
USR-00018,ORG-0001,Dakota Anderson,member,True,2024-03-29,2025-12-21
USR-00019,ORG-0001,Logan Chen, member ,True,2024-03-08,2026-01-26
USR-00020,ORG-0001,Casey Park,member,True,2024-03-15,2026-01-25
USR-00021,ORG-0001,Gray Thomas,member,True,2024-03-18,2024-10-07
USR-00022,ORG-0001,Gray Jackson,member,False,2024-04-22,2024-04-25
USR-00023,ORG-0001,Harper Hall,member,True,2024-04-17,2025-12-21
USR-00024,ORG-0001,Noel Hall,member,True,2024-04-03,2026-01-26
USR-00025,ORG-0001,Parker Thomas,member,True,2024-03-23,2026-02-18
USR-00026,ORG-0002,Reese Silva,owner,True,2023-02-20,2026-01-10
USR-00027,ORG-0002,Jules Hall,admin,True,2023-04-09,2026-02-06
USR-00028,ORG-0002,Cameron Chen,admin,True,2023-04-11,2026-02-17
USR-00029,ORG-0002,Logan Thomas,manager,True,2023-03-13,2026-02-24
USR-00030,ORG-0002,Avery Nguyen,member,True,2023-02-25,2026-01-22
USR-00031,ORG-0002,Avery Mueller,member,True,2023-03-25,2026-02-20
USR-00032,ORG-0002,Kit Lewis,member,True,2023-02-22,
USR-00033,ORG-0002,Avery White,member,True,2023-04-14,2026-02-23
USR-00034,ORG-0002,Harper Costa,member,True,2023-04-19,2025-12-30
